text,label
"She works two jobs to make ends meet; at least, that was her reason for not having time to join us.",0
Writing a list of random sentences is harder than I initially thought it would be.,0
"He said he was not there yesterday; however, many people saw him there.",0
"I think I will buy the red car, or I will lease the blue one.",0
"Cats are good pets, for they are clean and are not noisy.",0
This is the last random sentence I will be writing and I am going to stop mid-sent,0
"I really want to go to work, but I am too sick to drive.",0
I am happy to take your donation; any amount will be greatly appreciated.,0
She did her best to help him.,0
"I would have gotten the promotion, but my attendance wasn’t good enough.",0
I want more detailed information.,1
If Purple People Eaters are real… where do they find purple people to eat?,0
This is a Japanese doll.,0
The shooter says goodbye to his love.,0
She borrowed the book from him many years ago and hasn't yet returned it.,0
I'd rather be a bird than a fish.,0
Abstraction is often one floor above you.,0
I want to buy a onesie… but know it won’t suit me.,0
"Wow, does that work?",0
I checked to make sure that he was still alive.,0
The clock within this blog and the clock on my laptop are 1 hour different from each other.,0
Rock music approaches at high velocity.,0
Christmas is coming.,0
A song can make or ruin a person’s day if they let it get to them.,0
"He turned in the research paper on Friday; otherwise, he would have not passed the class.",0
The quick brown fox jumps over the lazy dog.,0
Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would taste like caramel popcorn. It didn’t and they don’t recommend anyone else do it either.,0
He told us a very exciting adventure story.,0
The lake is a long way from here.,0
I am never at home on Sundays.,0
"He ran out of money, so he had to stop playing poker.",0
My Mum tries to be cool by saying that she likes all the same things that I do.,0
The old apple revels in its authority.,0
We need to rent a room for our party.,0
"There was no ice cream in the freezer, nor did they have money to go to the store.",0
"It was getting dark, and we weren’t there yet.",0
"Should we start class now, or should we wait for everyone to get here?",0
